No.,사업체고유번호,사업자등록번호,법인등록번호,행정구역분류부호,사업체명,대표자명,소재지_도로명_읍면,소재지_도로명_도로명,소재지_도로명_본번,소재지_도로명_부번,소재지_도로명_빌딩명,소재지_도로명_빌딩동,소재지_도로명_빌딩층,소재지_도로명_빌딩호,소재지_도로명_도로명코드,소재지_도로명_우편번호,소재지_지번_읍면동,소재지_지번_리,소재지_지번_번지,소재지_지번_호,소재지_지번_통,소재지_지번_반,소재지_지번_공단,소재지_지번_블록,소재지_지번_로트,광역,상세주소,Latitude,Longitude,좌표_위도,좌표_경도,업종대분류_임시,업종중분류_임시,전화번호_지역번호,전화번호_국번호,전화번호_일련번호,주요_16개_도/시_전화번호,TEL,HP,팩스번호,산업분류_표준산업분류대분류,산업분류_표준산업분류중분류,산업분류_표준산업분류소분류,산업분류_표준산업분류세분류,산업분류_표준산업분류세세분류,산업분류_자체업종코드,조직형태,사업체구분,종사자수_2022,종사자수_2023,종사자수_2024,설립일자_연,설립일자_월,설립일자_일,설립일자_개업일,설립일자_인허가일,홈페이지,제품_주생산품,제품_판매방식,재무2021_매출액(국내),재무2021_매출액(해외),재무2022_회계연도,재무2022_결산월,재무2022_매출액,재무2022_매출액(국내),재무2022_매출액(해외),재무2022_순이익,재무2022_자본금,재무2022_영업이익,합계2022_자산,합계2022_자본,합계2022_부채,재무2023_자본,재무2023_부채,재무2023_매출,재무2023_수출,재무2023_연구개발,재무2023_매출액(국내),재무2023_매출액(해외),대표중견기업,저작권,이메일,기업상장,특허_국내,특허_해외,회사규모,R&D조직형태,벤처기업지정,SW사업자등록,출처,수집년도,latitude,longitude
471983,,,,,(주)케이피아이공조,황서희,,,,,,,,,,,,,,,,,,,,경남,창원시 의창구 동산로199번길 1,35.2250365,128.6956833,,,,,,,,,0552868011,,552868014.0,,전문직별 공사업,,,42202.0,,일반,,6.0,,,2009.0,2.0,20.0,,,,"기계설비공사,냉반방기설치공사,냉난방기기,시스템에어컨 도소매",,,,2017.0,,1865.0,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
464928,,,,,(주)코드원,서보경,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 166, 5층 501호",35.2278698,128.6845276,,,,,,,,,0552741158,,552741160.0,,사업 지원 서비스업,,,75330.0,,일반,,39.0,,,2001.0,9.0,14.0,,,www.ca1.co.kr,시설보안용역 시설경비 차량경호 수행경호 경비 및 탐정업 신변 보호 시설 경비,,,,2020.0,,5864.0,,,,,,3054.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
464933,,,,,(주)코리아베스트세이프티아,이필준,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 창이대로460번길 13, 3층",35.2379128,128.684354,,,,,,,,,0556063121,,,,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72919.0,,일반,,,,,2008.0,10.0,1.0,,,,안전관리대행,,,,,,,,,,,,382.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
464936,,,,,(주)코리아이.엔.지,김현식,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 남면로 219, 1동 11호",35.220753,128.6366843,,,,,,,,,05523776412,,552377643.0,,도매 및 상품 중개업,,,46599.0,,일반,,12.0,,,2006.0,1.0,1.0,,,,알루미늄프로파일 유공압품 감속기 Packing 도매 제조,,,,2020.0,,4784.0,,,,,,5456.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472011,,6158130061.0,,,(주)코아스틸,이상동,,,,,,,,,,우) 50872,,,,,,,,,,경남,김해시 진례면 서부로436번길 37-27,35.2650606,128.7487909,,,,,,,,,0553423604,,553423601.0,제조업,1차 금속 제조업,,,24199.0,,외감,,2.0,,,2002.0,12.0,11.0,,,www.coresteel.co.kr,"코어 전기강판 규소강판 냉연강판 절단가공 및 표면처리강재 생산업 철강,철판가공 철강 철판 전기강판 냉연강판 제조",,,,2017.0,12.0,25771.0,,,1058.0,1980.0,735.0,22238.0,3593.0,18645.0,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
472024,,,,,(주)코텍이엔지,이병철,,,,,,,,,,우) 51522,,,,,,,,,,경남,"창원시 성산구 용지로 64, 905-1호",35.221679,128.6760007,,,,,,,,,0552873883,,552873993.0,,도매 및 상품 중개업,,,46533.0,,일반,,4.0,,,2010.0,2.0,16.0,,,,공작기계 도매,,,,,,,,,,,,677.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
464949,,,,,(주)큐브,주수현,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 신월로 42, 1층 156호",35.2280567,128.6919318,,,,,,,,,0432111528,,432117935.0,,전문직별 공사업,,,42139.0,,일반,,4.0,,,2001.0,7.0,20.0,,,,시설물관리공사,,,,2016.0,,471.0,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
464959,,,,,(주)킴스무역,김지호,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 263, 604호",35.23595,128.6893391,,,,,,,,,0552642462,,,,도매 및 상품 중개업,,,46443.0,,일반,,,,,2013.0,8.0,7.0,,,,,,,,2017.0,,1314.0,,,,,,1069.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
457310,,,,,(주)타임,구본신,,,,,,,,,,,,,,,,,,,,경남,"김해시 율하2로11번길 39-6, 201호",35.1739112,128.8146993,,,,,,,,,0553148844,,553148898.0,,화학 물질 및 화학제품 제조업; 의약품 제외,,,20202.0,,일반,,4.0,,,2005.0,12.0,1.0,,,,천막원단 천막 합성고무플라스틱물질,,,,2016.0,,7457.0,,,,,,2976.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
464978,,,,,(주)태경이엔지,강태규,,,,,,,,,,우) 51522,,,,,,,,,,경남,"창원시 성산구 중앙대로 49, 1002-1호",35.2201279,128.6759076,,,,,,,,,0552859340,,552859341.0,,전문직별 공사업,,,42202.0,,일반,,6.0,,,2011.0,4.0,25.0,,,,"기계설비공사,소방시설공사",,,,2014.0,,4028.0,,,,,,1719.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
464999,,,,,(주)태성이엔씨,서옥석,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 225, 2층",35.2332396,128.6870374,,,,,,,,,0552662884,,,,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72129.0,,일반,,5.0,,,2012.0,7.0,10.0,,,,엔지니어링,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472121,,,,,(주)태영유니온,윤희정,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 창원천로94번길 19, 802호",35.2400442,128.6528882,,,,,,,,,0556062606,,556062608.0,,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72121.0,,일반,,43.0,,,2012.0,4.0,12.0,,,,"토목엔지니어링,환경영향,해역이용 평가,학술연구용역",,,,2020.0,,2810.0,,,,,,1204.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
465052,,,,,(주)토원조경건설,김미숙,,,,,,,,,,우) 51229,,,,,,,,,,경남,"창원시 마산회원구 내서읍 중리상곡로 129, 501-3호",35.2518302,128.5114202,,,,,,,,,0557631345,,,,종합 건설업,,,41226.0,,일반,,3.0,,,2011.0,11.0,17.0,,,,"조경식재공사,묘목,수목,조경시설물,조경자재 도소매",,,,,,,,,,,,897.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
461935,,,,,(주)티앤지세정,김민호,,,,,,,,,,우) 52781,,,,,,,,,,경남,진주시 상대로 120번길 8 (상대동),35.1839327,128.1248924,,,,,,,,,0557637605,,557637606.0,,기타 기계 및 장비 제조업,,,29111.0,,외감,,52.0,,,2012.0,3.0,20.0,,,,"산업용엔진,발전기부품,철구조물,농기계용부품,호이스트,크레인,닥트,자동차엔진부품 제조",,,,2020.0,,8523.0,,,,,,23559.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
466770,,,,,(주)티와이씨엔,정해달,,,,,,,,,,우) 53029,,,,,,,,,,경남,"통영시 용남면 남해안대로 529-27, 105-8호",34.8620642,128.4415373,,,,,,,,,0557631275,,,,전문직별 공사업,,,42322.0,,일반,,4.0,,,2009.0,3.0,3.0,,,,,,,,,,,,,,,,554.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465105,,,,,(주)포스텍,김상용,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 228번길6, 2층",35.2324477,128.688417,,,,,,,,,0552127027,,552869333.0,,출판업,,,58222.0,,외감,,126.0,,,1995.0,10.0,2.0,,,www.forcetec.co.kr,"소프트웨어 개발,네트워크 구축,유지보수,데이터베이스,중장비 임대,육해상 운송,조선설계 용역,네트웍공사,통신공사,국내외 여행알선",,,,2020.0,,33917.0,,,,,,45741.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465121,,,,,(주)플랜디,조완제,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 원이대로 362, 창원컨벤션센터 신관 101-1",35.2385744,128.6568092,,,,,,,,,0552873596,,5059209818.0,,사업 지원 서비스업,,,75992.0,,일반,,21.0,,,2001.0,2.0,26.0,,,www.plan-d.kr,전시회대행 박람회대행 컨벤션대행 기업프로모션대행 전시및행사대행업,,,,2020.0,,2296.0,,,,,,1162.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
457441,,,,,(주)플러스파워,김삼수,,,,,,,,,,우) 50872,,,,,,,,,,경남,김해시 진례면 서부로436번길 37-27,35.2650606,128.7487909,,,,,,,,,0553428690,,,,도매 및 상품 중개업,,,46595.0,,일반,,5.0,,,2013.0,11.0,14.0,,,,"전동지게차용 배터리,축전지 도매,제조",,,,2017.0,,3781.0,,,,,,7961.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472329,,,,,(주)하나로고속관광,박준근,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 원이대로 581, 3층",35.2286734,128.6790208,,,,,,,,,0552633111,,552817888.0,,육상 운송 및 파이프라인 운송업,,,49232.0,,일반,,15.0,,,2001.0,11.0,23.0,,,www.hanarohanatour.com,국내외여행알선 전세버스운송 전세여객운수,,,,2015.0,,1719.0,,,,,,1316.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
472333,,,,,(주)하나비앤씨,권광섭,,,,,,,,,,우) 51788,,,,,,,,,,경남,창원시 마산합포구 진북면 망곡길 17,35.1450321,128.4834072,,,,,,,,,0552718633,,552720600.0,,"펄프, 종이 및 종이제품 제조업",,,17909.0,,일반,,5.0,,,2015.0,7.0,7.0,,,,"종이용기(종이컵),지함,식품용원지 제조,무역",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
465147,,,,,(주)하나산기,신상훈,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 263, 809호",35.23595,128.6893391,,,,,,,,,05527425358,,552742539.0,,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72129.0,,일반,,14.0,,,2004.0,12.0,13.0,,,,발전업 설비 설계,,,,2017.0,,674.0,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472372,,,,,(주)하이코스,"최임경,이형철",,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 원이대로 320, T동 408호",35.2400442,128.6528882,,,,,,,,,0552880615,,552880613.0,,도매 및 상품 중개업,,,46599.0,,일반,,4.0,,,1996.0,5.0,10.0,,,www.hycos.co.kr,패킹 오링 오일씰 개스킷 유공압부품 수입하여 국내 공급 수출대행,,,,2017.0,,2933.0,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
472377,,,,,(주)한경엔지니어링,이경애,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 257, 401-1호",35.2354388,128.6889046,,,,,,,,,0222224023,,552618519.0,,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72921.0,,일반,,,,,2014.0,7.0,11.0,,,,"측량,설계,지반검사",,,,,,,,,,,,202.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
472430,,,,,(주)한림엘리베이터,서정훈,,,,,,,,,,우) 51395,,,,,,,,,,경남,"창원시 의창구 소계로 12, 301-3호",35.2539538,128.6051016,,,,,,,,,0552512777,,552765777.0,,산업용 기계 및 장비 수리업,,,34019.0,,일반,,3.0,,,2007.0,11.0,30.0,,,,"승강기 유지보수,설치공사",,,,,,,,,,,,653.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
472454,,,,,(주)한생바이오,김성현,,,,,,,,,,우) 52839,,,,,,,,,,경남,"진주시 문산읍 월아산로 991, 성장벤처지원동 304-1호,304-2호",35.1600502,128.1628246,,,,,,,,,07041000093,,222670045.0,,식료품 제조업,,,10799.0,,일반,,,,,2011.0,3.0,16.0,,,,"가공식품 제조,전통식품 연구개발",,,,2020.0,,117.0,,,,,,503.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
465211,,,,,(주)한성산업,정영현,,,,,,,,,,,,,,,,,,,,경남,창원시 의창구 남면로113번길 25-46,35.224058,128.6412401,,,,,,,,,0552661785,,552661786.0,,기타 기계 및 장비 제조업,,,29229.0,,일반,,6.0,,,2012.0,3.0,2.0,,,,,,,,2017.0,,1730.0,,,,,,2754.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472486,,6128144514.0,,,(주)한어울,구길용,,,,,,,,,,우) 53085,,,,,,,,,,경남,통영시 산양읍 삼칭이해안길 826 (영운리),34.8119499,128.437934,,,,,,,,,0552520025,,552526430.0,숙박 및 음식점업,숙박업,,,55101.0,,외감,,7.0,,,2013.0,1.0,18.0,,,www.hansanmarina.co.kr/,"관광호텔,선박,요트 도소매,한식,서양식 음식점,자전거 임대",,,,2020.0,12.0,2301.0,,,-152.0,6998.0,141.0,26456.0,169.0,26287.0,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
457540,,,,,(주)한영기공,이우현,,,,,,,,,,우) 50870,,,,,,,,,,경남,김해시 진영읍 서부로378번길 5-1,35.2685213,128.7542091,,,,,,,,,0553463096,,553423053.0,,금속 가공제품 제조업; 기계 및 가구 제외,,,25924.0,,일반,,15.0,,,2011.0,7.0,1.0,,,,기계가공 제조,,,,2015.0,,5140.0,,,,,,2405.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472582,,,,,(주)해우이엔지,임은희,,,,,,,,,,우) 50961,,,,,,,,,,경남,"김해시 외동 520, 동소522,동소523-1,동소523-2",35.2296469,128.8592066,,,,,,,,,0553244611,,553244614.0,,자동차 및 트레일러 제조업,,,30399.0,,일반,,12.0,,,2000.0,6.0,16.0,,,,"플라스틱사출 자동차,전자사출 성형제품 제조",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
472624,,,,,(주)현우이엠씨,조현갑,,,,,,,,,,우) 51167,,,,,,,,,,경남,"창원시 의창구 도계로 102, 201-2호",35.2559126,128.6402741,,,,,,,,,0552732970,,552732969.0,,전문직별 공사업,,,42202.0,,일반,,13.0,,,2001.0,10.0,19.0,,,,기계설비공사,,,,2015.0,,3124.0,,,,,,2610.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
472822,,,,,건식무역(주),윤용철,,,,,,,,,,우) 50408,,,,,,,,,,경남,밀양시 무안면 무안리 1116-32번지,35.4687011,128.6415153,,,,,,,,,0553514100,,553514104.0,,식료품 제조업,,,10302.0,,일반,,58.0,,,2000.0,8.0,31.0,,,www.gunsik.co.kr,"맛김치 포기김치 수출입 및 동대행업 위 사항 품목 도소매업 특수도료(내외벽재,아스콘,콘크리트 등) 수입 및 도소매업 김치 제조 수출",,,,2018.0,,9970.0,,,,,,6525.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
465380,,,,,건영이앤아이솔루션(주),김순아,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 용지로 225, 종합상가 302호",35.2344637,128.6846744,,,,,,,,,0552626478,,,,출판업,,,58222.0,,일반,,7.0,,,2014.0,4.0,11.0,,,www.gyeni.co.kr,"품질관리솔루션 개발,공급,인력공급",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472829,,,,,건우종합건기,서해상,,,,,,,,,,우) 51346,,,,,,,,,,경남,"창원시 마산회원구 양덕로 16, 1",35.2281687,128.5865951,,,,,,,,,0552968558,,552121195.0,,전문직별 공사업,,,42600.0,,일반,,5.0,,,1996.0,1.0,15.0,,,,산업용 기계장비 임대업,,,,2014.0,,71.0,,,,,,109.0,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
465415,,,,,경평산업(주),강석근,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 166, 4층",35.2278698,128.6845276,,,,,,,,,0552827757,,552856544.0,,"폐기물 수집, 운반, 처리 및 원료 재생업",,,38110.0,,일반,,32.0,,,1980.0,4.0,10.0,,,,폐기물수집운반 건물청소 및 유지서비스업,,,,2017.0,,2237.0,,,,,,2699.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465418,,5518800812.0,,,고려강재장(주),이준환,,,,,,,,,,우) 51712,,,,,,,,,,경남,창원시 성산구 적현로 492 (귀곡동),35.1886911,128.5955971,,,,,,,,,0552741912,,552741916.0,제조업,금속 가공제품 제조업; 기계 및 가구 제외,,,,,외감,,19.0,,,2017.0,8.0,4.0,,,,,,,,2020.0,12.0,15895.0,,,-120.0,500.0,112.0,20526.0,15416.0,5110.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465426,,,,,공신기술단(주),문정호,,,,,,,,,,우) 51573,,,,,,,,,,경남,"창원시 성산구 완암로 50, 제테크동 1105호, 1106호",35.2056532,128.6637526,,,,,,,,,0552652529,,552659426.0,,"건축 기술, 엔지니어링 및 기타 과학기술 서비스업",,,72121.0,,일반,,22.0,,,2012.0,9.0,12.0,,,,"해양구조물,육상철구조물(금속제품) 설계",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465433,,6098103778.0,,,광신개발(주),최우찬,,,,,,,,,,,,,,,,,,,,경남,창원시 의창구 창원대로 442 (대원동),35.224825,128.644663,,,,,,,,,0552731516,,552739780.0,도매 및 소매업,소매업; 자동차 제외,,,,,외감,,15.0,,,1981.0,3.0,1.0,,,www.gs.co.kr,"차량용가스충전소운영 주유소운영 편의점운영 유류가스 도,소매업 석유 유통업",,,,2020.0,12.0,92366.0,,,-1115.0,300.0,332.0,39591.0,14035.0,25556.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
472937,,,,,광진물류창고(주),홍성주,,,,,,,,,,우) 50614,,,,,,,,,,경남,양산시 물금읍 증산리 936-4 에이-2-2-동,35.2980394,129.0051372,,,,,,,,,0553712577,,553712599.0,,창고 및 운송관련 서비스업,,,52100.0,,일반,,18.0,,,1989.0,12.0,8.0,,,www.kwangjinwh.com,"화물보관 보세창고,운반서비스",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,조사모집단통합자료,2022,,
465449,,,,,금강개발(주),문혜량,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 용지로 161, 205호",35.22958,128.6816526,,,,,,,,,0552910178,,552910179.0,,부동산업,,,68122.0,,일반,,1.0,,,2008.0,7.0,30.0,,,,상가분양,,,,2017.0,,194.0,,,,,,2788.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
460810,,6218109563.0,,,금호섬유공업(주),강승범,,,,,,,,,,우) 50554,,,,,,,,,,경남,양산시 덕계서로 177 (덕계동),35.3710206,129.1463293,,,,,,,,,0522667733,,522270294.0,제조업,화학 물질 및 화학제품 제조업; 의약품 제외,,,20501.0,,외감,,66.0,,,1990.0,1.0,20.0,,,www.kumhofiber.com,폴리에스테르단섬유 재생폴리에스테르칩 폴리에스테르제품 제조업 스테이블 화이바(솜패딩용견면 건축내외장재 흡음재 단열재),,,,2020.0,12.0,19430.0,,,-1534.0,2303.0,-332.0,21924.0,2604.0,19320.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
457746,,1048609156.0,,,김해맑은물(주),이인수,,,,,,,,,,,,,,,,,,,,경남,김해시 김해대로 2272번길 376-22 (전하동),35.2187605,128.8704358,,,,,,,,,0557232233,,557232244.0,"사업시설 관리, 사업 지원 및 임대 서비스업",사업시설 관리 및 조경 서비스업,,,74100.0,,외감,,1.0,,,2007.0,7.0,20.0,,,,하수관거정비 건물 건설 하수관 임대,,,,2020.0,12.0,1971.0,,,-526.0,8090.0,-527.0,53459.0,3449.0,50010.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
458612,,,,,나우건설(주),조인성,,,,,,,,,,우) 52446,,,,,,,,,,경남,"남해군 삼동면 동부대로 1235, 202,203호",34.8057089,128.0399415,,,,,,,,,0553121161,,553111164.0,,종합 건설업,,,41100.0,,일반,,5.0,,,2012.0,12.0,1.0,,,,건축공사,,,,2014.0,,1962.0,,,,,,588.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465483,,6098114386.0,,,남부건업(주),하범종,,,,,,,,,,,,,,,,,,,,경남,창원시 의창구 창이대로460번길 21-1 (용호동) 원빌딩 401호,35.2373171,128.6838509,,,,,,,,,0552668801,,552663219.0,부동산업,부동산업,,,68211.0,,외감,,2265.0,,,1992.0,5.0,14.0,,,,"공동주택관리,빌딩관리,경비,위생관리 용역,미장방수공사,도장공사,시설물유지관리공사,수맥차단제품 도소매",,,,2020.0,12.0,66196.0,,,1677.0,1005.0,964.0,15996.0,9757.0,6239.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465487,,,,,남포특운(주),윤점순,,,,,,,,,,우) 51402,,,,,,,,,,경남,창원시 의창구 팔용동 7-10번지 농수산물도매시장 서비스동 201호,35.2298115,128.6377587,,,,,,,,,0552880088,,552652455.0,,육상 운송 및 파이프라인 운송업,,,49301.0,,일반,,7.0,,,2001.0,1.0,3.0,,,,화물운송 화물운송주선 일반 화물자동차 운송업 화물운송 화물 운송,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465488,,,,,남흥건설(주),이해성,,,,,,,,,,우) 51504,,,,,,,,,,경남,"창원시 성산구 중앙대로 56, 304-1호",35.2198363,128.6777176,,,,,,,,,0555263972,,552734605.0,,종합 건설업,,,41220.0,,일반,,7.0,,,2001.0,9.0,1.0,,,,토목공사,,,,2016.0,,407.0,,,,,,889.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
454906,,,,,농업회사법인원산종돈(주),신봉원,,,,,,,,,,,,,,,,,,,,경남,거창군 신원면 덕산리 산1475-4번지,35.5845588,127.8957255,,,,,,,,,0559410877,,,,농업,,,1220.0,,일반,,15.0,,,2011.0,7.0,1.0,,,www.darby.co.kr,양돈,,,,2018.0,,6347.0,,,,,,10038.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465513,,,,,다산종합건설(주),김재범,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 신월로 42, 1층 131호",35.2280567,128.6919318,,,,,,,,,0552817976,,555435926.0,,전문직별 공사업,,,42139.0,,일반,,5.0,,,2014.0,4.0,20.0,,,,,,,,2020.0,,1502.0,,,,,,812.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465517,,7128100077.0,,,다인인베스트먼트(주),최경화,,,,,,,,,,,,,,,,,,,,경남,창원시 의창구 원이대로 332(대원동 122),35.2393389,128.6550116,,,,,,,,,0556000700,,556000782.0,숙박 및 음식점업,숙박업,,,55101.0,,외감,,49.0,,,2015.0,5.0,1.0,,,pullman.ambatel.com/changwon/main.amb,호텔,,,,2020.0,12.0,6144.0,,,-2974.0,13667.0,-1112.0,97079.0,14684.0,82395.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465531,,,,,대림토건(주),김정주,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 용지로169번길 7, 5층",35.2303036,128.6813094,,,,,,,,,0552816574,,552757535.0,,종합 건설업,,,41220.0,,일반,,34.0,,,1994.0,10.0,15.0,,,www.taewoo21.co.kr,"토목공사,건축공사,조경공사",,,,2020.0,,16971.0,,,,,,8956.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465546,,,,,대신네트웍스(주),김영식,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 263, 409호",35.23595,128.6893391,,,,,,,,,0552514567,,552743939.0,,도매 및 상품 중개업,,,,,일반,,57.0,,,1993.0,9.0,16.0,,,www.daesin.net,정보통신공사 정보통신공사 통신장비 도소매업 통신공사업 시스템통합 공사업 소프트웨어관련 서비스업,,,,2020.0,,17484.0,,,,,,5441.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465547,,,,,대안토건(주),심상범,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 신월로 42, 527호",35.2280567,128.6919318,,,,,,,,,0552660301,,552660303.0,,전문직별 공사업,,,42121.0,,일반,,8.0,,,1992.0,7.0,1.0,,,,"토공사,철근콘크리트공사,상하수도설비공사",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465628,,,,,동양종합건설(주),강석경,,,,,,,,,,,,,,,,,,,,경남,"창원시 의창구 중앙대로 263, 603호",35.23595,128.6893391,,,,,,,,,0552742810,,552742815.0,,종합 건설업,,,41100.0,,일반,,22.0,,,1994.0,6.0,20.0,,,dyimc.co.kr,"건축공사,토목공사,조경공사,상가건물 임대,매매",,,,2020.0,,6980.0,,,,,,9903.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465644,,,,,동인건설(주),박근노,,,,,,,,,,우) 51515,,,,,,,,,,경남,"창원시 성산구 용지로 94, 206-1호",35.2238754,128.6778643,,,,,,,,,0552796302,,552796303.0,,전문직별 공사업,,,42132.0,,일반,,13.0,,,2002.0,4.0,22.0,,,,"철근콘크리트공사,토공사,포장공사",,,,2015.0,,8422.0,,,,,,1288.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
454623,,1048187671.0,,,드비치골프클럽(주),송영재,,,,,,,,,,우) 53200,,,,,,,,,,경남,거제시 장목면 송진포리 산 77-3,35.008421,128.6989673,,,,,,,,,0557363000,,556358576.0,"예술, 스포츠 및 여가관련 서비스업",스포츠 및 오락관련 서비스업,,,91121.0,,외감,,21.0,,,2004.0,6.0,1.0,,,www.debeach.co.kr,골프장운영 골프장 운영 골프용품 도소매 회원권 분양대행,,,,2020.0,12.0,9802.0,,,1331.0,7510.0,1250.0,88016.0,-8161.0,96178.0,,,,,,,,,,,,,,,,,,기업체총람,2022,,
465686,,,,,리치앤타임(주),정용호,,,,,,,,,,우) 51395,,,,,,,,,,경남,"창원시 의창구 창원대로18번길46,1414,1415호(팔용동,경남창원과학기술진흥원)",35.252229,128.6033925,,,,,,,,,028563223,,28563385.0,,출판업,,,58222.0,,외감,,69.0,,,2002.0,5.0,25.0,,,www.rntime.com,"NT워크스테이션 컴퓨터 주변장치 시스템솔루션 소프트웨어의 개발 및 공급업 컴퓨터 및 관련기기 제조 및 판매,임대,정비보수업 정보검색 및 정보처리 기술 용역 제공업 소프트웨어개발 공급",,,,2020.0,,22513.0,,,,,,11844.0,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
459417,,,,,무진건설(주),이명지,,,,,,,,,,우) 52537,,,,,,,,,,경남,사천시 용현면 통양2길 29-2,35.0373919,128.0522304,,,,,,,,,0557599365,,557539365.0,,전문직별 공사업,,,42132.0,,일반,,6.0,,,1996.0,6.0,20.0,,,,"철근콘크리트공사 석공사 철근 및 철근 콘크리트 공사업 철근콘크리트공사,석공사",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,기업체총람,2022,,
